,Stadtteilname,CDU,SPD,Grüne,FDP,AfD,Linke,Piraten
0,1,"26,3","17,6","14,6","15,2","8,3",13,"0,5"
1,2,26,"15,3",15,"16,9","7,8","13,7","0,7"
2,3,"31,6","11,9","13,6","27,9","6,2","6,7","0,1"
3,4,"28,7","15,9","16,2","22,2","5,2","9,4","0,4"
4,5,"25,3","15,6","20,1","17,7","5,1","12,8","0,5"
5,6,"20,7","17,6","23,6","13,1","4,5","16,6","0,4"
6,7,"23,7","19,4","18,7","13,6","6,3","14,2","0,5"
7,8,"22,2","21,4","18,3","10,9","6,8","16,1","0,4"
8,9,"21,4","15,6","18,4","16,8","7,1","16,5","0,4"
9,10,"24,4","18,1","13,4","17,3","9,5","12,7","0,5"
10,11,"22,5",19,"19,1","15,1",6,"14,1","0,5"
11,12,"27,1","15,9","18,6","19,2","5,8","10,3","0,4"
12,13,"30,2","17,4","13,6","18,9","7,6","9,1","0,3"
13,14,"27,4","22,5","11,5","12,2","10,5","11,2","0,6"
14,15,"26,1","22,4","11,9","13,6","10,3","10,9","0,6"
15,16,"30,6","23,2","9,5","11,1","12,4","8,7","0,4"
16,17,"25,3","25,6","9,6","9,6","12,2","11,3","0,6"
17,18,"23,6","21,2","13,9","10,7","9,1","16,2","0,7"
18,19,"27,5",23,"13,4","12,6","7,7","12,6","0,2"
19,20,"24,5","24,3","12,8","10,5","11,1","12,6","0,4"
20,21,"24,7","24,7","13,3","9,8","10,1",13,"0,6"
21,22,"26,2","24,2","12,6","11,2","10,9","10,8","0,5"
22,23,"23,9","22,6",14,"12,3","8,4","14,1","0,4"
23,24,"27,3","19,2","15,2","15,6","7,5","11,8","0,4"
24,25,"27,6","19,4","15,7","14,3","7,5","11,5","0,4"
25,26,"24,4","24,1","12,3","10,1","9,2","14,3","0,5"
26,27,"26,1","21,8","14,2","12,7","8,7","11,9","0,5"
27,28,"25,7","23,2","12,2","9,4","12,8","11,7","0,6"
28,29,"29,8","20,5","12,5","13,9","8,5",11,"0,6"
29,30,"17,5","29,6","9,7","5,5","13,1","18,8","0,7"
30,31,"28,3","21,6","14,5","11,7","8,7","11,1","0,4"
31,32,"24,8","25,6","10,5",9,"11,6","12,6","0,8"
32,33,"21,7","23,7","13,7","9,1","11,1","14,6","0,8"
33,34,"26,7","24,5","8,8","10,2","14,2","10,5","0,6"
34,35,"29,3","25,9","8,1","8,2","13,6",9,"0,7"
35,36,"31,1","24,3","7,8","8,9","14,5","8,2","0,5"
36,37,"28,6","24,1","10,1","10,4","11,6","10,2","0,4"
37,38,"30,2","22,7","8,1","10,1","13,6","9,7","0,6"
38,39,"36,1",17,"12,9","14,3",9,"7,5","0,3"
39,40,"33,6","16,9","12,8","18,3","7,4","7,2","0,4"
40,41,"33,9",19,"11,8","13,1","10,2","7,4","0,1"
41,42,"30,2","21,1","11,1","10,5","12,8","9,4","0,5"
42,43,"30,4",20,"11,7","15,1",10,"8,5","0,3"
43,44,"28,8",22,"11,9","10,7","11,2","10,8","0,6"
44,45,"26,4","20,1","14,6","14,1","8,6","11,9","0,5"
